"stationName","lineName","operatorName","stationCode","externalCode","branchKey","destinationName","displayLabel","previousStation","nextStation","priority","isActive","note","searchTokens"
"용산","경의중앙선","코레일","","","경의중앙-본선","문산행","용산역 경의중앙선 문산행","효창공원앞","이촌","1","true","서쪽 방면","경의중앙선|경의중앙선역|문산|문산행|문산행역|용산|용산역|용산역 경의중앙선 문산|용산역 경의중앙선 문산행|용산역 경의중앙선 문산행역"
"용산","경의중앙선","코레일","","","경의중앙-본선","지평행","용산역 경의중앙선 지평행","효창공원앞","이촌","2","true","동쪽 방면","경의중앙선|경의중앙선역|용산|용산역|용산역 경의중앙선 지평|용산역 경의중앙선 지평행|용산역 경의중앙선 지평행역|지평|지평행|지평행역"
"지평","경의중앙선","코레일","","","경의중앙-본선","문산행","지평역 경의중앙선 문산행","용문","","1","true","동쪽 말단","경의중앙선|경의중앙선역|문산|문산행|문산행역|지평|지평역|지평역 경의중앙선 문산|지평역 경의중앙선 문산행|지평역 경의중앙선 문산행역"
"청량리","경춘선","코레일","","","경춘-본선","춘천행","청량리역 경춘선 춘천행","","회기","1","true","단순 본선","경춘선|경춘선역|청량리|청량리역|청량리역 경춘선 춘천|청량리역 경춘선 춘천행|청량리역 경춘선 춘천행역|춘천|춘천행|춘천행역"
"춘천(한림대)","경춘선","코레일","","","경춘-본선","청량리행","춘천(한림대)역 경춘선 청량리행","남춘천(강원대)","","1","true","단순 본선","경춘선|경춘선역|청량리|청량리행|청량리행역|춘천(한림대)|춘천(한림대)역|춘천(한림대)역 경춘선 청량리|춘천(한림대)역 경춘선 청량리행|춘천(한림대)역 경춘선 청량리행역"
"서울역","공항철도","공항철도주식회사","","","공항-본선","인천공항2터미널행","서울역역 공항철도 인천공항2터미널행","","공덕","1","true","단순 본선","공항철도|공항철도역|서울|서울역|서울역역 공항철도 인천공항2터미널|서울역역 공항철도 인천공항2터미널행|서울역역 공항철도 인천공항2터미널행역|인천공항2터미널|인천공항2터미널행|인천공항2터미널행역"
"인천공항2터미널","공항철도","공항철도주식회사","","","공항-본선","서울역행","인천공항2터미널역 공항철도 서울역행","인천공항1터미널","","1","true","단순 본선","공항철도|공항철도역|서울역|서울역행|서울역행역|인천공항2터미널|인천공항2터미널역|인천공항2터미널역 공항철도 서울역|인천공항2터미널역 공항철도 서울역행|인천공항2터미널역 공항철도 서울역행역"
"김포공항","김포골드라인","김포골드라인운영주식회사","","","김포골드라인-본선","양촌행","김포공항역 김포골드라인 양촌행","고촌","","1","true","단순 본선","김포골드라인|김포골드라인역|김포공항|김포공항역|김포공항역 김포골드라인 양촌|김포공항역 김포골드라인 양촌행|김포공항역 김포골드라인 양촌행역|양촌|양촌행|양촌행역"
"양촌","김포골드라인","김포골드라인운영주식회사","","","김포골드라인-본선","김포공항행","양촌역 김포골드라인 김포공항행","","구래","1","true","단순 본선","김포골드라인|김포골드라인역|김포공항|김포공항행|김포공항행역|양촌|양촌역|양촌역 김포골드라인 김포공항|양촌역 김포골드라인 김포공항행|양촌역 김포골드라인 김포공항행역"
"원시","서해선","서해철도주식회사","4815","S28","서해선-본선","일산행","원시역 서해선 일산행","시우","","1","true","단순 본선","서해선|서해선역|원시|원시역|원시역 서해선 일산|원시역 서해선 일산행|원시역 서해선 일산행역|일산|일산행|일산행역"
